tax_id,original_name,matched_candidate_name,matched_fein
0000,GRAPHISOFT NORTH AMERICA INC,,
0000,ARAYMOND NORTH AMERICA LLC,"ARaymond North America, LLC",854390000
0000,TWINING CONSULTING INC,,
0000,COMMUNICATIONS TEST DESIGN INC,,
0001,BITSWAVE INC,,
0001,AARETE LLC,"AArete, LLC",262000001
0001,MCCURDY CHARTER SCHOOL,,
0001,GIA KUAN LLC DBA GIA KUAN CONSULTING,Gia Kuan  LLC,833090001
0001,HITECH INFO GROUP LLC,Hitechinfogroup LLC,814360001
0002,CENTRAL MAINE DENTAL PC DBA ANDROSCOGGIN DENTAL GROUP,,
0002,INTERJURIS SERVICES CORP LLC,,
0003,METRO DEAF SCHOOL INC,,
0003,CARLIN SPRINGS SNF OPERATIONS D/B/A CARLIN SPRINGS HEALTH & REHABILITATION,,
0003,OAKNORTH AMERICAS US INC,OakNorth Americas (US) Inc. ,371870003
0003,QUEENS UNIVERSITY OF CHARLOTTE,,
0003,LAW OFFICE OF IFY ONONOGBU PLLC,"Law Office of Ify Ononogbu, PLLC",822870003
0003,OPTUM SERVICES PUERTO RICO LLC,,
0004,PROJECT CANARY PBC,"Project Canary, PBC",831480004
0004,CT SOLUTIONS INC,"CT Solutions, Inc.",541940004
0004,NUMENTICA LLC,Numentica LLC,262760004
0004,HALE RESOURCES LLC,,
0005,SALEM ACADEMY AND COLLEGE,,
0005,EAGLEFORCE ASSOCIATES INC,"EAGLEFORCE ASSOCIATES, INC.",611650005
0005,UNITED LABOR AGENCY INC,,
0005,ICRUSH TECHNOLOGIES LLC,iCrush Technologies LLC,371780005
0005,PINNACLE LEASING AND MANAGEMENT LLC,,
0006,"ACCESS COMMERCIAL INC.,",,
0006,PIANA NONWOVENS LLC,"Piana Nonwovens, LLC",465010006
0006,APM TERMINALS PACIFIC LLC,APM Terminals Pacific LLC,133020006
0006,SPRUCEVIEW CAPITAL PARTNERS LLC,Spruceview Capital Partners LLC,460560006
0007,CWT US LLC,,
0007,ESSENTIA HEALTH INC,"Essentia Health, Inc.",200360007
0007,HEALTH SERVICES ADVISORY GROUP INC,"Health Services Advisory Group, Inc.",860440007
0007,SUPPLY CHAIN CONSULTANTS INC D/B/A ARKIEVA,,
0007,TECHIZEE INC,,
0007,LENTIGEN TECHNOLOGY INC,"Lentigen Technology, Inc.",471170007
0007,MP MAGNETICS LLC,MP Magnetics LLC,870840007
0007,NC A AND T STATE UNIVERSITY,,
0008,OCI BEAUMONT LLC,,
0008,GEORGE P JOHNSON COMPANY,,
0008,WARNERMEDIA SERVICES LLC,"WarnerMedia Services, LLC",463480008
0008,SVANACO INC DBA AMERICANEAGLE COM,Svanaco Inc.,363130008
0009,HEALTH CONSULTING SERVICES LLC,,
0009,OJ LLC,,
0009,EMC CORPORATION,EMC Corporation,042680009
0009,BRD NEW MATERIALS LLC,,
0010,APARTMENT THERAPY LLC,"Apartment Therapy, LLC",043720010
0010,THEOREM PARTNERS LLC,Theorem Partners LLC,463800010
0010,METLIFE GROUP INC,"MetLife Group, Inc.",550790010
0010,"TWENTY-SECOND CENTURY DORA TECHNOLOGY HOLDINGS, INC.",Twenty-Second Century Dora Technology Holdings Inc.,832860010
0010,WEST PHARMACEUTICAL SERVICES INC,West Pharmaceutical Services Inc.,231210010
0010,JOHNSON CONTROLS INC,"JOHNSON CONTROLS, INC.",390380010
0011,WILDLIFE CONSERVATION SOCIETY,,
0011,AGILYSYS NV LLC,"Agilysys NV, LLC",200690011
0011,SILICONE CONCEPT INC,Silicone Concept Inc.,813260011
0011,LEXINGTON PARTNERS INC,,
0012,SORT AND EXPORT CO,,
0012,LUMA HEALTH INC,"Luma Health, Inc.",473270012
0012,HEALTHFIRST SOCIAL DAY CARE INC,,
0012,ADVENTIST HEALTH SYSTEM SUNBELT HE,ADVENTIST HEALTH SYSTEM SUBELT HEALTHCARE CORP.,592170012
0012,DATA INTELLIGENCE IT,DATA INTELLIGENCE IT,853070012
0012,GD AMERICA INC,,
0012,ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP DBA ADVENTHEALTH,ADVENTIST HEALTH SYSTEM SUBELT HEALTHCARE CORP.,592170012
0013,ALCORN STATE UNIVERSITY,Alcorn State University,646000013
0013,ROADTEC INDUSTRIES,"Roadtec, Inc.",581450013
0013,GLOBAL GROUP INC,GLOBAL GROUP INC,372070013
0013,NUVOCARGO INC,Nuvocargo Inc.,823780013
0014,ST PAUL S SCHOOLS,,
0014,TX SCD DENTAL PC,TX-SCD Dental PC,463060014
0015,PROSIS TECHNOLOGIES INC,,
0015,"LANDMARK GLOBAL, INC.",,
0015,EVERYMARKET INC,Everymarket Inc.,465390015
0015,BETATREE IT CONSULTING AND TECHNOL,,
